Crop,Symptoms,Disease,Severity
Groundnut,Yellow leaves,Leaf Spot,Medium
Tomato,"Brown spots on leaves, Yellow leaves, Premature fruit drop",Early Blight,Low
Potato,"Yellow leaves, Brown spots on leaves, Root rot",Early Blight,Medium
Mango,White powder on leaves,Powdery Mildew,High
Grapes,"Premature fruit drop, Yellow leaves",Downy Mildew,Medium
Potato,"Black lesions, Water-soaked patches, Wilting stems",Late Blight,Low
Banana,"Brown spots on leaves, Black lesions, Premature fruit drop",Black Sigatoka,Critical
Cotton,"Yellow leaves, Wilting stems, Stunted growth",Wilt,Critical
Banana,"Root rot, Wilting stems, Yellow leaves",Panama Disease,Low
Potato,Yellow leaves,Early Blight,High
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Medium
Banana,"Root rot, Wilting stems, Black lesions",Panama Disease,High
Tomato,"Brown spots on leaves, Fruit discoloration",Early Blight,Low
Groundnut,Premature fruit drop,Rust,Medium
Maize,Brown spots on leaves,Common Rust,Critical
Rice,Black lesions,Blast,Critical
Banana,"Premature fruit drop, Brown spots on leaves",Black Sigatoka,Critical
Maize,"Wilting stems, Black lesions",Leaf Blight,High
Soybean,"Root rot, Wilting stems, Stunted growth, Leaf curl",Root Rot,Medium
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,Critical
Grapes,"White powder on leaves, Stunted growth, Fruit discoloration",Powdery Mildew,Critical
Sugarcane,Yellow leaves,Red Rot,Low
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Critical
Sugarcane,"Wilting stems, Yellow leaves",Red Rot,Low
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,Low
Sugarcane,Stunted growth,Red Rot,Critical
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,High
Cotton,"Yellow leaves, Stunted growth",Wilt,Critical
Rice,"Black lesions, Stunted growth, Brown spots on leaves",Blast,Low
Rice,Brown spots on leaves,Brown Spot,Medium
Maize,"Black lesions, Yellow leaves, Wilting stems",Leaf Blight,High
Maize,"Brown spots on leaves, Yellow leaves",Common Rust,High
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Medium
Wheat,"Yellow leaves, Root rot",Root Rot,Low
Cotton,"Yellow leaves, Wilting stems, Stunted growth, Premature fruit drop",Wilt,Critical
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,High
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Medium
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,Critical
Cotton,"Black lesions, Water-soaked patches",Bacterial Blight,High
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Medium
Wheat,"Yellow leaves, White powder on leaves",Powdery Mildew,Critical
Groundnut,Yellow leaves,Leaf Spot,Medium
Potato,"Stunted growth, Black lesions",Black Scurf,High
Cotton,"Yellow leaves, Stunted growth",Wilt,Medium
Cotton,"Premature fruit drop, Water-soaked patches, Black lesions",Bacterial Blight,Critical
Potato,"Black lesions, Stunted growth",Black Scurf,High
Maize,Yellow leaves,Leaf Blight,High
Rice,"Brown spots on leaves, Yellow leaves, Wilting stems",Brown Spot,High
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,High
Groundnut,Yellow leaves,Leaf Spot,Low
Maize,"Rusty orange pustules, Brown spots on leaves, Leaf curl",Common Rust,Medium
Soybean,"Wilting stems, Stunted growth",Root Rot,Critical
Potato,Black lesions,Black Scurf,Medium
Banana,"Root rot, Yellow leaves",Panama Disease,Medium
Soybean,Rusty orange pustules,Rust,Critical
Potato,Black lesions,Late Blight,Critical
Wheat,Stunted growth,Root Rot,Medium
Sugarcane,"Wilting stems, Stunted growth, Yellow leaves",Red Rot,Low
Rice,"Yellow leaves, Brown spots on leaves, Root rot",Brown Spot,Critical
Potato,"Stunted growth, Black lesions",Black Scurf,Critical
Grapes,"White powder on leaves, Yellow leaves, Premature fruit drop",Downy Mildew,Low
Banana,"Black lesions, Premature fruit drop, Brown spots on leaves",Black Sigatoka,Critical
Potato,"Black lesions, Wilting stems, Water-soaked patches",Late Blight,Critical
Cotton,"Wilting stems, Stunted growth, Yellow leaves",Wilt,Critical
Potato,"Black lesions, Stunted growth, Root rot",Black Scurf,High
Wheat,Yellow leaves,Leaf Rust,Medium
Soybean,"Wilting stems, Stunted growth, Root rot",Root Rot,Medium
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,Medium
Grapes,"Stunted growth, White powder on leaves",Powdery Mildew,Low
Tomato,"Brown spots on leaves, Premature fruit drop",Early Blight,High
Soybean,"Wilting stems, Stunted growth",Root Rot,Medium
Sugarcane,"Stunted growth, Wilting stems, Yellow leaves",Red Rot,Critical
Cotton,Yellow leaves,Wilt,Critical
Maize,"Wilting stems, Yellow leaves, Black lesions",Leaf Blight,Critical
Groundnut,Rusty orange pustules,Rust,Medium
Sugarcane,"Stunted growth, Yellow leaves",Red Rot,Critical
Sugarcane,"Wilting stems, Stunted growth",Red Rot,High
Wheat,"Yellow leaves, White powder on leaves",Leaf Rust,Critical
Banana,Wilting stems,Panama Disease,High
Cotton,"Wilting stems, Yellow leaves, Stunted growth",Wilt,Critical
Soybean,"Rusty orange pustules, Premature fruit drop, Yellow leaves",Rust,Low
Sugarcane,"Stunted growth, Wilting stems, Yellow leaves",Red Rot,High
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,Critical
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Critical
Mango,"Premature fruit drop, Black lesions",Anthracnose,High
Groundnut,Premature fruit drop,Rust,Medium
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,Critical
Potato,"Black lesions, Water-soaked patches",Late Blight,High
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Low
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Medium
Mango,White powder on leaves,Powdery Mildew,Low
Potato,Yellow leaves,Early Blight,Low
Potato,"Brown spots on leaves, Yellow leaves, Water-soaked patches",Early Blight,High
Soybean,Wilting stems,Root Rot,Critical
Potato,"Black lesions, Stunted growth",Black Scurf,Medium
Tomato,"Yellow leaves, Stunted growth, Leaf curl, Premature fruit drop",Leaf Curl,Low
Potato,Stunted growth,Black Scurf,High
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,High
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,Low
Maize,Brown spots on leaves,Common Rust,Low
Wheat,Yellow leaves,Powdery Mildew,Critical
Mango,"Premature fruit drop, Black lesions",Anthracnose,Critical
Potato,"Black lesions, Water-soaked patches, Wilting stems",Late Blight,Medium
Cotton,"Black lesions, Premature fruit drop, Water-soaked patches",Bacterial Blight,Medium
Wheat,Rusty orange pustules,Leaf Rust,Low
Rice,Water-soaked patches,Bacterial Blight,Medium
Wheat,Yellow leaves,Root Rot,Medium
Cotton,"Water-soaked patches, Black lesions, Premature fruit drop",Bacterial Blight,High
Maize,"Rusty orange pustules, White powder on leaves",Common Rust,High
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,Low
Grapes,"Fruit discoloration, Stunted growth",Powdery Mildew,Low
Groundnut,"Brown spots on leaves, Yellow leaves, Premature fruit drop",Leaf Spot,Low
Rice,"Wilting stems, Water-soaked patches",Bacterial Blight,Critical
Wheat,"White powder on leaves, Yellow leaves, Rusty orange pustules",Powdery Mildew,High
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Low
Banana,"Wilting stems, Yellow leaves",Panama Disease,Critical
Sugarcane,Brown spots on leaves,Rust,High
Cotton,"Black lesions, Water-soaked patches, Premature fruit drop",Bacterial Blight,Low
Sugarcane,"Stunted growth, Yellow leaves, Wilting stems",Red Rot,High
Banana,"Wilting stems, Root rot",Panama Disease,Low
Potato,"Stunted growth, Black lesions",Black Scurf,Medium
Maize,Black lesions,Leaf Blight,High
Wheat,Yellow leaves,Leaf Rust,Low
Mango,White powder on leaves,Powdery Mildew,High
Cotton,Wilting stems,Wilt,Critical
Wheat,White powder on leaves,Powdery Mildew,Medium
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,High
Mango,Black lesions,Anthracnose,Low
Banana,"Wilting stems, Root rot",Panama Disease,Critical
Sugarcane,Rusty orange pustules,Rust,Low
Potato,"Stunted growth, Black lesions",Black Scurf,Low
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,High
Cotton,Black lesions,Bacterial Blight,Medium
Maize,"Yellow leaves, Black lesions, Wilting stems, Brown spots on leaves",Leaf Blight,Critical
Rice,Wilting stems,Bacterial Blight,Critical
Grapes,"Yellow leaves, White powder on leaves, Leaf curl",Downy Mildew,Medium
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Medium
Sugarcane,Brown spots on leaves,Rust,High
Tomato,Water-soaked patches,Late Blight,Low
Soybean,"Yellow leaves, Rusty orange pustules",Rust,Medium
Potato,Wilting stems,Late Blight,Low
Maize,"Yellow leaves, Wilting stems",Leaf Blight,High
Banana,"Brown spots on leaves, Fruit discoloration",Black Sigatoka,High
Potato,Stunted growth,Black Scurf,High
Groundnut,Rusty orange pustules,Rust,High
Wheat,Yellow leaves,Root Rot,Critical
Groundnut,"Premature fruit drop, Brown spots on leaves",Leaf Spot,Critical
Soybean,"Yellow leaves, Root rot",Rust,Low
Soybean,Rusty orange pustules,Rust,Critical
Soybean,"Yellow leaves, Premature fruit drop",Rust,High
Banana,"Root rot, Wilting stems, Yellow leaves",Panama Disease,Critical
Potato,"Yellow leaves, Rusty orange pustules",Early Blight,Medium
Cotton,"Stunted growth, Yellow leaves, Wilting stems",Wilt,Low
Potato,"Stunted growth, Black lesions",Black Scurf,Low
Banana,"Brown spots on leaves, Black lesions, Premature fruit drop",Black Sigatoka,Medium
Cotton,Wilting stems,Wilt,Medium
Wheat,Rusty orange pustules,Leaf Rust,Medium
Mango,White powder on leaves,Powdery Mildew,Medium
Grapes,White powder on leaves,Downy Mildew,Medium
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Critical
Tomato,"Fruit discoloration, Black lesions, Water-soaked patches",Late Blight,Critical
Soybean,Root rot,Root Rot,Medium
Potato,"Black lesions, Wilting stems, Water-soaked patches",Late Blight,Low
Potato,Black lesions,Late Blight,Medium
Sugarcane,Yellow leaves,Red Rot,Low
Sugarcane,"Stunted growth, Yellow leaves",Red Rot,Low
Cotton,Black lesions,Bacterial Blight,High
Maize,Brown spots on leaves,Common Rust,Critical
Grapes,"Fruit discoloration, Stunted growth, White powder on leaves",Powdery Mildew,Low
Potato,Wilting stems,Late Blight,Critical
Wheat,"Yellow leaves, Black lesions",Leaf Rust,Critical
Banana,Black lesions,Black Sigatoka,Critical
Mango,"Premature fruit drop, Black lesions, Fruit discoloration",Anthracnose,Low
Mango,Fruit discoloration,Powdery Mildew,Low
Soybean,Stunted growth,Root Rot,Low
Sugarcane,Brown spots on leaves,Rust,High
Grapes,"White powder on leaves, Fruit discoloration",Powdery Mildew,Low
Mango,White powder on leaves,Powdery Mildew,High
Banana,"Wilting stems, Root rot, Yellow leaves",Panama Disease,Low
Grapes,White powder on leaves,Downy Mildew,Medium
Rice,"Yellow leaves, Wilting stems",Bacterial Blight,Critical
Potato,"Water-soaked patches, Black lesions, Wilting stems",Late Blight,Low
Banana,"Black lesions, Brown spots on leaves",Black Sigatoka,Critical
Grapes,"White powder on leaves, Yellow leaves",Downy Mildew,Critical
Cotton,Stunted growth,Wilt,Critical
Mango,"Fruit discoloration, Premature fruit drop, Black lesions, Stunted growth",Anthracnose,High
Groundnut,Premature fruit drop,Rust,Low
Grapes,"White powder on leaves, Premature fruit drop, Yellow leaves, Fruit discoloration",Downy Mildew,High
Soybean,Rusty orange pustules,Rust,Critical
Rice,Brown spots on leaves,Brown Spot,High
Cotton,"Wilting stems, Stunted growth, Yellow leaves",Wilt,High
Groundnut,"Brown spots on leaves, Yellow leaves, Premature fruit drop",Leaf Spot,High
Tomato,Premature fruit drop,Early Blight,Critical
Soybean,"Yellow leaves, Premature fruit drop",Rust,High
Grapes,"Yellow leaves, Wilting stems",Downy Mildew,Critical
Maize,Yellow leaves,Leaf Blight,High
Banana,"Black lesions, Brown spots on leaves, Premature fruit drop",Black Sigatoka,Medium
Cotton,Water-soaked patches,Bacterial Blight,Medium
Groundnut,"Premature fruit drop, Yellow leaves",Leaf Spot,Medium
Mango,Fruit discoloration,Anthracnose,Critical
Soybean,"Stunted growth, Root rot, Leaf curl",Root Rot,Low
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Medium
Sugarcane,Stunted growth,Red Rot,Medium
Maize,"Black lesions, Wilting stems, Yellow leaves",Leaf Blight,High
Tomato,"Stunted growth, Leaf curl, Yellow leaves",Leaf Curl,Low
Soybean,"Premature fruit drop, Rusty orange pustules, Yellow leaves",Rust,High
Mango,"Black lesions, Rusty orange pustules",Anthracnose,High
Banana,"Wilting stems, Yellow leaves, Root rot",Panama Disease,High
Banana,"Black lesions, Brown spots on leaves",Black Sigatoka,Low
Grapes,Fruit discoloration,Powdery Mildew,Critical
Tomato,"Water-soaked patches, Black lesions, Fruit discoloration",Late Blight,High
Sugarcane,"Stunted growth, Wilting stems",Red Rot,Critical
Wheat,"Rusty orange pustules, Yellow leaves, Stunted growth",Leaf Rust,Critical
Mango,White powder on leaves,Powdery Mildew,High
Tomato,"Premature fruit drop, Yellow leaves",Early Blight,High
Groundnut,Yellow leaves,Leaf Spot,Medium
Tomato,"Leaf curl, Yellow leaves",Leaf Curl,Critical
Potato,Black lesions,Black Scurf,High
Grapes,"White powder on leaves, Yellow leaves",Downy Mildew,Medium
Cotton,Yellow leaves,Wilt,High
Mango,Black lesions,Anthracnose,High
Soybean,Root rot,Root Rot,Critical
Soybean,"Rusty orange pustules, Stunted growth",Rust,Critical
Soybean,Stunted growth,Root Rot,Medium
Cotton,Yellow leaves,Wilt,High
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,High
Cotton,"Premature fruit drop, Black lesions",Bacterial Blight,Low
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Medium
Soybean,Stunted growth,Root Rot,Low
Tomato,"Yellow leaves, Premature fruit drop",Early Blight,Medium
Sugarcane,Rusty orange pustules,Rust,High
Banana,"Brown spots on leaves, Premature fruit drop, Black lesions",Black Sigatoka,High
Soybean,"Stunted growth, Wilting stems, Root rot",Root Rot,Medium
Potato,"Black lesions, Stunted growth",Black Scurf,Medium
Grapes,"White powder on leaves, Premature fruit drop",Downy Mildew,High
Potato,"Wilting stems, Black lesions, Water-soaked patches",Late Blight,Medium
Potato,"Wilting stems, Water-soaked patches",Late Blight,Critical
Banana,"Brown spots on leaves, Black lesions, Premature fruit drop",Black Sigatoka,High
Soybean,Root rot,Root Rot,Medium
Tomato,"Premature fruit drop, Brown spots on leaves, Yellow leaves, Fruit discoloration",Early Blight,High
Grapes,Premature fruit drop,Downy Mildew,Low
Soybean,"Premature fruit drop, Yellow leaves",Rust,Medium
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,Medium
Soybean,Yellow leaves,Rust,Medium
Rice,"Water-soaked patches, Wilting stems",Bacterial Blight,Low
Potato,Stunted growth,Black Scurf,Critical
Maize,"Black lesions, Yellow leaves",Leaf Blight,Critical
Banana,"Black lesions, Premature fruit drop, Brown spots on leaves",Black Sigatoka,Medium
Maize,"Yellow leaves, Wilting stems, White powder on leaves",Leaf Blight,Medium
Maize,"Black lesions, Yellow leaves",Leaf Blight,Medium
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,High
Grapes,"Stunted growth, Black lesions",Powdery Mildew,Medium
Sugarcane,Brown spots on leaves,Rust,Medium
Tomato,"Brown spots on leaves, Yellow leaves",Early Blight,High
Sugarcane,Rusty orange pustules,Rust,Low
Soybean,"Stunted growth, Wilting stems, Root rot",Root Rot,Low
Rice,"Black lesions, Brown spots on leaves, Stunted growth",Blast,Critical
Wheat,Yellow leaves,Root Rot,Low
Soybean,"Wilting stems, Leaf curl",Root Rot,Critical
Mango,"Fruit discoloration, Premature fruit drop, Black lesions",Anthracnose,Low
Grapes,"White powder on leaves, Stunted growth, Fruit discoloration",Powdery Mildew,Low
Soybean,"Yellow leaves, Leaf curl",Rust,Medium
Maize,"Wilting stems, Yellow leaves",Leaf Blight,Critical
Sugarcane,"Stunted growth, Wilting stems, Yellow leaves, Rusty orange pustules",Red Rot,Critical
Soybean,"Rusty orange pustules, Premature fruit drop, Yellow leaves",Rust,Critical
Banana,"Brown spots on leaves, Black lesions, Premature fruit drop",Black Sigatoka,Medium
Potato,"Water-soaked patches, Wilting stems, Black lesions",Late Blight,Low
Tomato,Brown spots on leaves,Early Blight,Critical
Mango,"Premature fruit drop, Leaf curl",Anthracnose,Medium
Soybean,Rusty orange pustules,Rust,High
Tomato,"Stunted growth, Yellow leaves, Leaf curl",Leaf Curl,Medium
Banana,"Wilting stems, Root rot, Rusty orange pustules",Panama Disease,Medium
Banana,"Brown spots on leaves, Black lesions, Premature fruit drop",Black Sigatoka,Critical
Soybean,"Wilting stems, Stunted growth, Root rot",Root Rot,Medium
Soybean,Root rot,Root Rot,Medium
Groundnut,"Yellow leaves, Premature fruit drop, Brown spots on leaves",Leaf Spot,High
Tomato,"Water-soaked patches, Black lesions, Fruit discoloration, White powder on leaves",Late Blight,Low
Potato,Brown spots on leaves,Early Blight,Medium
Groundnut,"Yellow leaves, Brown spots on leaves",Leaf Spot,Medium
Grapes,"Fruit discoloration, White powder on leaves, Stunted growth",Powdery Mildew,Medium
Soybean,"Wilting stems, Stunted growth",Root Rot,High
Potato,"Yellow leaves, Brown spots on leaves, Premature fruit drop",Early Blight,High
Tomato,"Black lesions, Water-soaked patches",Late Blight,Medium
Grapes,Fruit discoloration,Powdery Mildew,Critical
Potato,Black lesions,Late Blight,Medium
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,High
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Low
Banana,"Wilting stems, Rusty orange pustules",Panama Disease,Medium
Wheat,Root rot,Root Rot,Critical
Cotton,"Premature fruit drop, Black lesions, Water-soaked patches, Rusty orange pustules",Bacterial Blight,Critical
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Critical
Maize,Rusty orange pustules,Common Rust,High
Cotton,"Wilting stems, Yellow leaves",Wilt,Critical
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,Low
Wheat,"Yellow leaves, Rusty orange pustules, Brown spots on leaves",Leaf Rust,Medium
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,Low
Tomato,"Premature fruit drop, Yellow leaves, Brown spots on leaves, White powder on leaves",Early Blight,High
Soybean,"Yellow leaves, Black lesions",Rust,Medium
Grapes,White powder on leaves,Downy Mildew,Medium
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Low
Soybean,Root rot,Root Rot,Low
Cotton,"Wilting stems, Yellow leaves",Wilt,Critical
Groundnut,"Premature fruit drop, Yellow leaves",Leaf Spot,Critical
Wheat,"Root rot, Yellow leaves, White powder on leaves",Root Rot,Critical
Grapes,"Fruit discoloration, Stunted growth, White powder on leaves, Yellow leaves",Powdery Mildew,High
Groundnut,"Rusty orange pustules, Premature fruit drop, Root rot",Rust,Critical
Soybean,"Root rot, Premature fruit drop",Root Rot,Low
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Low
Grapes,"Stunted growth, White powder on leaves, Fruit discoloration",Powdery Mildew,High
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,High
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,Medium
Grapes,"Premature fruit drop, Yellow leaves, White powder on leaves, Root rot",Downy Mildew,Low
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Medium
Potato,Yellow leaves,Early Blight,Critical
Cotton,"Stunted growth, Yellow leaves, Wilting stems",Wilt,High
Sugarcane,Rusty orange pustules,Rust,Medium
Banana,"Wilting stems, Yellow leaves, Root rot",Panama Disease,Low
Sugarcane,Brown spots on leaves,Rust,Medium
Grapes,"Yellow leaves, White powder on leaves",Downy Mildew,Critical
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Low
Wheat,"White powder on leaves, Yellow leaves",Powdery Mildew,Critical
Cotton,"Wilting stems, Black lesions",Wilt,Medium
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Low
Groundnut,"Yellow leaves, Brown spots on leaves, Black lesions",Leaf Spot,High
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,Low
Groundnut,"Rusty orange pustules, Premature fruit drop, Brown spots on leaves",Rust,Low
Cotton,"Water-soaked patches, Premature fruit drop, Black lesions",Bacterial Blight,High
Soybean,"Root rot, Wilting stems",Root Rot,Medium
Banana,"Black lesions, Premature fruit drop",Black Sigatoka,Critical
Sugarcane,"Wilting stems, Stunted growth, Yellow leaves",Red Rot,Low
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,Low
Potato,"Stunted growth, Black lesions",Black Scurf,Low
Cotton,"Stunted growth, Wilting stems",Wilt,High
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,Low
Maize,"Black lesions, Wilting stems, Yellow leaves",Leaf Blight,Critical
Sugarcane,"Stunted growth, Wilting stems",Red Rot,Critical
Potato,Black lesions,Late Blight,Low
Cotton,"Water-soaked patches, Premature fruit drop",Bacterial Blight,Critical
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Low
Tomato,Black lesions,Late Blight,High
Maize,"Yellow leaves, Wilting stems, Black lesions",Leaf Blight,High
Soybean,"Root rot, Wilting stems, Stunted growth",Root Rot,Low
Grapes,"White powder on leaves, Fruit discoloration",Powdery Mildew,Low
Groundnut,Brown spots on leaves,Leaf Spot,High
Grapes,"Premature fruit drop, White powder on leaves",Downy Mildew,Medium
Rice,"Brown spots on leaves, Stunted growth",Blast,Medium
Cotton,"Stunted growth, Yellow leaves",Wilt,Low
Maize,Wilting stems,Leaf Blight,Medium
Grapes,White powder on leaves,Powdery Mildew,Medium
Banana,"Black lesions, Brown spots on leaves",Black Sigatoka,Critical
Groundnut,"Brown spots on leaves, Yellow leaves, Premature fruit drop",Leaf Spot,High
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Critical
Banana,Premature fruit drop,Black Sigatoka,Critical
Tomato,"Black lesions, Fruit discoloration",Late Blight,Medium
Mango,"White powder on leaves, Fruit discoloration, Premature fruit drop",Powdery Mildew,Low
Wheat,"Yellow leaves, White powder on leaves",Powdery Mildew,Critical
Tomato,Yellow leaves,Leaf Curl,High
Wheat,"Stunted growth, Root rot",Root Rot,Medium
Rice,"Wilting stems, Water-soaked patches, Yellow leaves",Bacterial Blight,Low
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,Critical
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,Critical
Wheat,"White powder on leaves, Yellow leaves, Leaf curl",Powdery Mildew,High
Maize,Yellow leaves,Leaf Blight,Medium
Wheat,"Root rot, Yellow leaves, Stunted growth",Root Rot,Medium
Banana,"Root rot, Wilting stems",Panama Disease,Low
Wheat,Yellow leaves,Powdery Mildew,Critical
Cotton,Black lesions,Bacterial Blight,Medium
Soybean,"Root rot, Wilting stems, Stunted growth",Root Rot,Medium
Grapes,"Premature fruit drop, Yellow leaves",Downy Mildew,Medium
Groundnut,Rusty orange pustules,Rust,Low
Soybean,"Yellow leaves, Rusty orange pustules",Rust,Critical
Cotton,"Water-soaked patches, Premature fruit drop",Bacterial Blight,Low
Potato,Water-soaked patches,Late Blight,Critical
Soybean,"Stunted growth, Wilting stems, Root rot",Root Rot,Low
Banana,"Yellow leaves, Wilting stems, Stunted growth",Panama Disease,Medium
Soybean,"Stunted growth, Root rot",Root Rot,Critical
Grapes,"White powder on leaves, Leaf curl",Powdery Mildew,Low
Groundnut,"Premature fruit drop, Brown spots on leaves, White powder on leaves",Leaf Spot,Low
Maize,"Yellow leaves, Wilting stems",Leaf Blight,Medium
Grapes,"Yellow leaves, Premature fruit drop, White powder on leaves",Downy Mildew,High
Soybean,"Premature fruit drop, Rusty orange pustules",Rust,High
Rice,"Water-soaked patches, Wilting stems, Yellow leaves",Bacterial Blight,Low
Mango,Premature fruit drop,Anthracnose,Low
Rice,Yellow leaves,Brown Spot,Medium
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,High
Potato,"Black lesions, Water-soaked patches, Wilting stems",Late Blight,Low
